Day,Campaign,Cost,Impressions,Clicks,Conversions,Total conv. value
18/12/24,Campaign_030_AVERAGE,44.05,305,22,2,59.89
18/12/24,Campaign_031_AVERAGE,59.9,508,29,2,92.95
18/12/24,Campaign_032_ZOMBIE,161.82,968,53,2,86.74
18/12/24,Campaign_033_ZERO_HOPE,102.99,325,20,0,0
18/12/24,Campaign_034_ZOMBIE,170.13,690,56,2,78.48
18/12/24,Campaign_035_ZERO_HOPE,63.57,177,12,0,0
18/12/24,Campaign_036_ZOMBIE,133.45,605,44,2,60.2
18/12/24,Campaign_037_ZERO_HOPE,93.82,251,18,0,0
18/12/24,Campaign_038_AVERAGE,39.96,317,19,1,64.03
18/12/24,Campaign_039_STAR,74.76,1119,74,14,271.2
18/12/24,Campaign_040_AVERAGE,53.6,346,26,2,84.41
18/12/24,Campaign_041_DECAYER,99.39,674,49,4,210.06
18/12/24,Campaign_042_ZOMBIE,170.06,1111,56,2,76.63
18/12/24,Campaign_043_AVERAGE,46.7,337,23,2,75.22
18/12/24,Campaign_044_STAR,84.27,1482,84,16,324.48
18/12/24,Campaign_045_ZERO_HOPE,73.99,174,14,0,0
18/12/24,Campaign_046_AVERAGE,54.23,503,27,2,87.66
18/12/24,Campaign_047_DECAYER,128.64,1036,64,6,276.51
18/12/24,Campaign_048_ZOMBIE,194.94,1265,64,3,96.39
18/12/24,Campaign_049_DECAYER,118.4,744,59,5,245.43
18/12/24,Campaign_050_ZERO_HOPE,97.2,309,19,0,0
19/12/24,Campaign_001_ZERO_HOPE,77.65,297,15,0,0
19/12/24,Campaign_002_DECAYER,71.06,428,35,3,140.24
19/12/24,Campaign_003_ZERO_HOPE,74.61,251,14,0,0
19/12/24,Campaign_004_ZOMBIE,184.71,1147,61,3,88.61
19/12/24,Campaign_005_ZOMBIE,183.39,791,61,3,88.06
19/12/24,Campaign_006_STAR,70.19,1327,70,14,271.31
19/12/24,Campaign_007_AVERAGE,37.63,304,18,1,60.58
19/12/24,Campaign_008_AVERAGE,44.09,358,22,2,64.06
19/12/24,Campaign_009_AVERAGE,44.56,270,22,2,61.4
19/12/24,Campaign_010_ZOMBIE,162.34,1008,54,2,78.09
19/12/24,Campaign_011_ZERO_HOPE,78.57,290,15,0,0
19/12/24,Campaign_012_ZERO_HOPE,87.1,183,17,0,0
19/12/24,Campaign_013_ZOMBIE,116.85,578,38,1,55.48
19/12/24,Campaign_014_AVERAGE,43,309,21,2,66.34
19/12/24,Campaign_015_DECAYER,79.92,436,39,3,150.83
19/12/24,Campaign_016_ZERO_HOPE,70.59,152,14,0,0
19/12/24,Campaign_017_ZOMBIE,105.96,414,35,1,55.95
19/12/24,Campaign_018_AVERAGE,42.43,324,21,2,60.49
19/12/24,Campaign_019_ZERO_HOPE,60.55,212,12,0,0
19/12/24,Campaign_020_ZERO_HOPE,56.12,189,11,0,0
19/12/24,Campaign_021_ZOMBIE,133.94,616,44,2,65.77
19/12/24,Campaign_022_ZOMBIE,116.76,402,38,1,57.31
19/12/24,Campaign_023_ZERO_HOPE,62.71,133,12,0,0
19/12/24,Campaign_024_ZOMBIE,125.99,745,41,2,62.65
19/12/24,Campaign_025_AVERAGE,52.89,405,26,2,78.86
19/12/24,Campaign_026_DECAYER,73.87,657,36,3,141.36
19/12/24,Campaign_027_ZOMBIE,107.21,493,35,1,53.98
19/12/24,Campaign_028_ZOMBIE,163.25,782,54,2,80.46
19/12/24,Campaign_029_ZERO_HOPE,78.68,182,15,0,0
19/12/24,Campaign_030_AVERAGE,50.71,380,25,2,70.28
19/12/24,Campaign_031_AVERAGE,35.05,270,17,1,51.89
19/12/24,Campaign_032_ZOMBIE,116.98,584,38,1,57.15
19/12/24,Campaign_033_ZERO_HOPE,80.18,289,16,0,0
19/12/24,Campaign_034_ZOMBIE,108.6,657,36,1,54.73
19/12/24,Campaign_035_ZERO_HOPE,88.37,327,17,0,0
19/12/24,Campaign_036_ZOMBIE,143.72,675,47,2,65.06
19/12/24,Campaign_037_ZERO_HOPE,61.93,132,12,0,0
19/12/24,Campaign_038_AVERAGE,45.16,320,22,2,66.23
19/12/24,Campaign_039_STAR,98.4,1615,98,19,381.99
19/12/24,Campaign_040_AVERAGE,59.23,455,29,2,87.48
19/12/24,Campaign_041_DECAYER,103.14,933,51,5,222.45
19/12/24,Campaign_042_ZOMBIE,106.33,454,35,1,48.45
19/12/24,Campaign_043_AVERAGE,45.65,271,22,2,62.41
19/12/24,Campaign_044_STAR,72.11,1001,72,14,305.48
19/12/24,Campaign_045_ZERO_HOPE,94.88,252,18,0,0
19/12/24,Campaign_046_AVERAGE,53.72,420,26,2,79.58
19/12/24,Campaign_047_DECAYER,81.49,623,40,3,153.97
19/12/24,Campaign_048_ZOMBIE,165.12,695,55,2,77.01
19/12/24,Campaign_049_DECAYER,120.25,736,60,5,251.09
19/12/24,Campaign_050_ZERO_HOPE,89.95,254,17,0,0
20/12/24,Campaign_001_ZERO_HOPE,84.85,317,16,0,0
20/12/24,Campaign_002_DECAYER,91.92,812,45,4,183.61
20/12/24,Campaign_003_ZERO_HOPE,67.04,156,13,0,0
20/12/24,Campaign_004_ZOMBIE,177.94,744,59,2,82.31
20/12/24,Campaign_005_ZOMBIE,166.28,1074,55,2,75.16
20/12/24,Campaign_006_STAR,92.13,966,92,18,390.46
20/12/24,Campaign_007_AVERAGE,41.21,298,20,2,61.37
20/12/24,Campaign_008_AVERAGE,53.35,385,26,2,77.54
20/12/24,Campaign_009_AVERAGE,45.15,357,22,2,66.75
20/12/24,Campaign_010_ZOMBIE,148.6,600,49,2,80.34
20/12/24,Campaign_011_ZERO_HOPE,88.79,174,17,0,0
20/12/24,Campaign_012_ZERO_HOPE,101.88,283,20,0,0
20/12/24,Campaign_013_ZOMBIE,175.51,862,58,2,86.19
20/12/24,Campaign_014_AVERAGE,62.97,455,31,3,96.76
20/12/24,Campaign_015_DECAYER,109.18,1030,54,5,214.97
20/12/24,Campaign_016_ZERO_HOPE,84.32,238,16,0,0
20/12/24,Campaign_017_ZOMBIE,116.76,548,38,1,57.54
20/12/24,Campaign_018_AVERAGE,43.32,377,21,2,63.23
20/12/24,Campaign_019_ZERO_HOPE,99.57,275,19,0,0
20/12/24,Campaign_020_ZERO_HOPE,69.13,207,13,0,0
20/12/24,Campaign_021_ZOMBIE,135.32,491,45,2,61.24
20/12/24,Campaign_022_ZOMBIE,192.45,690,64,3,98.18
20/12/24,Campaign_023_ZERO_HOPE,78.36,191,15,0,0
20/12/24,Campaign_024_ZOMBIE,163.42,744,54,2,84.52
20/12/24,Campaign_025_AVERAGE,40.53,313,20,2,55.1
20/12/24,Campaign_026_DECAYER,76.93,606,38,3,141.13
20/12/24,Campaign_027_ZOMBIE,172.67,792,57,2,83.89
20/12/24,Campaign_028_ZOMBIE,190.28,825,63,3,95.6
20/12/24,Campaign_029_ZERO_HOPE,88.39,230,17,0,0
20/12/24,Campaign_030_AVERAGE,61.85,437,30,3,90.75
20/12/24,Campaign_031_AVERAGE,42.71,411,21,2,57.86
20/12/24,Campaign_032_ZOMBIE,138.02,597,46,2,68.55
20/12/24,Campaign_033_ZERO_HOPE,88.17,276,17,0,0
20/12/24,Campaign_034_ZOMBIE,121.24,475,40,2,63.38
20/12/24,Campaign_035_ZERO_HOPE,96.54,307,19,0,0
20/12/24,Campaign_036_ZOMBIE,169.85,900,56,2,87.72
20/12/24,Campaign_037_ZERO_HOPE,82.45,294,16,0,0
20/12/24,Campaign_038_AVERAGE,56.36,333,28,2,76.9
20/12/24,Campaign_039_STAR,129.65,2426,129,25,549.66
20/12/24,Campaign_040_AVERAGE,38.34,194,19,1,58.71
20/12/24,Campaign_041_DECAYER,83.54,556,41,4,170.21
20/12/24,Campaign_042_ZOMBIE,105.47,400,35,1,50.44
20/12/24,Campaign_043_AVERAGE,36.63,316,18,1,59.67
20/12/24,Campaign_044_STAR,74.68,1168,74,14,326.2
20/12/24,Campaign_045_ZERO_HOPE,78.32,288,15,0,0
20/12/24,Campaign_046_AVERAGE,43.78,285,21,2,60.29
20/12/24,Campaign_047_DECAYER,94.68,709,47,4,173.25
20/12/24,Campaign_048_ZOMBIE,145.91,845,48,2,78.48
20/12/24,Campaign_049_DECAYER,82.56,478,41,4,150.23
20/12/24,Campaign_050_ZERO_HOPE,72.99,169,14,0,0
21/12/24,Campaign_001_ZERO_HOPE,69.32,139,13,0,0
21/12/24,Campaign_002_DECAYER,74.37,619,37,3,137.81
21/12/24,Campaign_003_ZERO_HOPE,79.32,197,15,0,0
21/12/24,Campaign_004_ZOMBIE,114.67,726,38,1,53.06
21/12/24,Campaign_005_ZOMBIE,187.57,1067,62,3,88.02
21/12/24,Campaign_006_STAR,127.95,1342,127,25,479.47
21/12/24,Campaign_007_AVERAGE,41.94,339,20,2,60.37
21/12/24,Campaign_008_AVERAGE,64.6,511,32,3,96.06
21/12/24,Campaign_009_AVERAGE,57.06,486,28,2,86.04
21/12/24,Campaign_010_ZOMBIE,151.87,777,50,2,83.14
21/12/24,Campaign_011_ZERO_HOPE,63.84,146,12,0,0
21/12/24,Campaign_012_ZERO_HOPE,62.64,202,12,0,0
21/12/24,Campaign_013_ZOMBIE,153.36,832,51,2,78.85
21/12/24,Campaign_014_AVERAGE,44.77,401,22,2,62.46
21/12/24,Campaign_015_DECAYER,88.36,450,44,4,178.23
21/12/24,Campaign_016_ZERO_HOPE,96.62,203,19,0,0
21/12/24,Campaign_017_ZOMBIE,108.24,594,36,1,58.66
21/12/24,Campaign_018_AVERAGE,54.39,448,27,2,80.33
21/12/24,Campaign_019_ZERO_HOPE,102.26,241,20,0,0
21/12/24,Campaign_020_ZERO_HOPE,65.7,231,13,0,0
21/12/24,Campaign_021_ZOMBIE,185.89,1001,61,3,92.72
21/12/24,Campaign_022_ZOMBIE,169.78,593,56,2,89.15
21/12/24,Campaign_023_ZERO_HOPE,90.41,266,18,0,0
21/12/24,Campaign_024_ZOMBIE,138.73,523,46,2,68.9
21/12/24,Campaign_025_AVERAGE,60.95,332,30,3,89.44
21/12/24,Campaign_026_DECAYER,108.88,1053,54,5,233.94
21/12/24,Campaign_027_ZOMBIE,169.28,883,56,2,87.49
21/12/24,Campaign_028_ZOMBIE,111.85,446,37,1,58.07
21/12/24,Campaign_029_ZERO_HOPE,91.36,350,18,0,0
21/12/24,Campaign_030_AVERAGE,52.85,347,26,2,84.7
21/12/24,Campaign_031_AVERAGE,51.66,345,25,2,71.6
21/12/24,Campaign_032_ZOMBIE,172.66,833,57,2,79.67
21/12/24,Campaign_033_ZERO_HOPE,60.35,128,12,0,0
21/12/24,Campaign_034_ZOMBIE,139.06,801,46,2,72.24
21/12/24,Campaign_035_ZERO_HOPE,59.01,213,11,0,0
21/12/24,Campaign_036_ZOMBIE,121.85,614,40,2,55.74
21/12/24,Campaign_037_ZERO_HOPE,90.14,224,18,0,0
21/12/24,Campaign_038_AVERAGE,38.39,295,19,1,62.55
21/12/24,Campaign_039_STAR,85.3,933,85,17,359.55
21/12/24,Campaign_040_AVERAGE,38.04,284,19,1,55.48
21/12/24,Campaign_041_DECAYER,129.36,717,64,6,256.25
21/12/24,Campaign_042_ZOMBIE,171.3,1047,57,2,82.47
21/12/24,Campaign_043_AVERAGE,41.8,302,20,2,66.69
21/12/24,Campaign_044_STAR,102,1196,102,20,446.42
21/12/24,Campaign_045_ZERO_HOPE,77.44,265,15,0,0
21/12/24,Campaign_046_AVERAGE,53.61,507,26,2,85.99
21/12/24,Campaign_047_DECAYER,83.37,651,41,4,166.04
21/12/24,Campaign_048_ZOMBIE,110.43,604,36,1,50.74
21/12/24,Campaign_049_DECAYER,114.32,573,57,5,231.57
21/12/24,Campaign_050_ZERO_HOPE,67.66,150,13,0,0
22/12/24,Campaign_001_ZERO_HOPE,83.36,277,16,0,0
22/12/24,Campaign_002_DECAYER,87.79,622,43,4,189.7
22/12/24,Campaign_003_ZERO_HOPE,75.43,279,15,0,0
22/12/24,Campaign_004_ZOMBIE,141.38,719,47,2,68.63
22/12/24,Campaign_005_ZOMBIE,180.43,1108,60,3,92.66
22/12/24,Campaign_006_STAR,74.1,905,74,14,308.62
22/12/24,Campaign_007_AVERAGE,44.72,241,22,2,63.91
22/12/24,Campaign_008_AVERAGE,52.82,480,26,2,78.95
22/12/24,Campaign_009_AVERAGE,47.1,323,23,2,64.84
22/12/24,Campaign_010_ZOMBIE,123.46,684,41,2,55.59
22/12/24,Campaign_011_ZERO_HOPE,89.01,186,17,0,0
22/12/24,Campaign_012_ZERO_HOPE,103.62,290,20,0,0
22/12/24,Campaign_013_ZOMBIE,192.5,1195,64,3,104
22/12/24,Campaign_014_AVERAGE,43.97,246,21,2,67.33
22/12/24,Campaign_015_DECAYER,109.89,560,54,5,221.23
22/12/24,Campaign_016_ZERO_HOPE,76.26,286,15,0,0
22/12/24,Campaign_017_ZOMBIE,178.76,703,59,2,92.98
22/12/24,Campaign_018_AVERAGE,48.38,405,24,2,78.54
22/12/24,Campaign_019_ZERO_HOPE,65.81,178,13,0,0
22/12/24,Campaign_020_ZERO_HOPE,79.46,223,15,0,0
22/12/24,Campaign_021_ZOMBIE,112.45,480,37,1,57.53
22/12/24,Campaign_022_ZOMBIE,191.84,761,63,3,94.8
22/12/24,Campaign_023_ZERO_HOPE,68.02,179,13,0,0
22/12/24,Campaign_024_ZOMBIE,192.31,679,64,3,100.88
22/12/24,Campaign_025_AVERAGE,60.51,573,30,3,98.26
22/12/24,Campaign_026_DECAYER,107.59,840,53,5,216.13
22/12/24,Campaign_027_ZOMBIE,144.11,841,48,2,76.07
22/12/24,Campaign_028_ZOMBIE,174.09,806,58,2,83.51
22/12/24,Campaign_029_ZERO_HOPE,62.89,130,12,0,0
22/12/24,Campaign_030_AVERAGE,45.75,398,22,2,68.94
22/12/24,Campaign_031_AVERAGE,48,425,23,2,75.42
22/12/24,Campaign_032_ZOMBIE,159.3,1058,53,2,72.76
22/12/24,Campaign_033_ZERO_HOPE,79.77,229,15,0,0
22/12/24,Campaign_034_ZOMBIE,143.99,656,47,2,65.64
22/12/24,Campaign_035_ZERO_HOPE,69.75,133,13,0,0
22/12/24,Campaign_036_ZOMBIE,110.74,642,36,1,54.89
22/12/24,Campaign_037_ZERO_HOPE,75.26,208,15,0,0
22/12/24,Campaign_038_AVERAGE,45.19,328,22,2,62.45
22/12/24,Campaign_039_STAR,93.78,1460,93,18,355.15
22/12/24,Campaign_040_AVERAGE,62.89,390,31,3,98.34
22/12/24,Campaign_041_DECAYER,78.18,641,39,3,154.14
22/12/24,Campaign_042_ZOMBIE,152.43,993,50,2,69.9
22/12/24,Campaign_043_AVERAGE,49.97,274,24,2,77.35
22/12/24,Campaign_044_STAR,89.51,1200,89,17,391.16
22/12/24,Campaign_045_ZERO_HOPE,62.26,123,12,0,0
22/12/24,Campaign_046_AVERAGE,41.49,352,20,2,60.57
22/12/24,Campaign_047_DECAYER,108.61,927,54,5,217.93
22/12/24,Campaign_048_ZOMBIE,130.58,807,43,2,62.53
22/12/24,Campaign_049_DECAYER,126.52,1169,63,6,225.97
22/12/24,Campaign_050_ZERO_HOPE,91.14,344,18,0,0
23/12/24,Campaign_001_ZERO_HOPE,91.38,270,18,0,0
23/12/24,Campaign_002_DECAYER,78.32,457,39,3,145.74
23/12/24,Campaign_003_ZERO_HOPE,96.47,318,19,0,0
23/12/24,Campaign_004_ZOMBIE,163.95,920,54,2,88.22
23/12/24,Campaign_005_ZOMBIE,175.38,889,58,2,88.73
23/12/24,Campaign_006_STAR,109.24,1449,109,21,411.63
23/12/24,Campaign_007_AVERAGE,35.07,272,17,1,54.86
23/12/24,Campaign_008_AVERAGE,38.1,211,19,1,62.38
23/12/24,Campaign_009_AVERAGE,57.27,461,28,2,87.39
23/12/24,Campaign_010_ZOMBIE,164.24,542,54,2,85.29
23/12/24,Campaign_011_ZERO_HOPE,65.11,162,13,0,0
23/12/24,Campaign_012_ZERO_HOPE,56.64,204,11,0,0
23/12/24,Campaign_013_ZOMBIE,151.33,722,50,2,73.08
23/12/24,Campaign_014_AVERAGE,35.33,186,17,1,50.98
23/12/24,Campaign_015_DECAYER,81.31,501,40,3,168.55
23/12/24,Campaign_016_ZERO_HOPE,85.44,324,17,0,0
23/12/24,Campaign_017_ZOMBIE,141.06,750,47,2,75.31
23/12/24,Campaign_018_AVERAGE,39.46,315,19,1,57.9
23/12/24,Campaign_019_ZERO_HOPE,85.1,171,17,0,0
23/12/24,Campaign_020_ZERO_HOPE,69.6,144,13,0,0
23/12/24,Campaign_021_ZOMBIE,145.26,550,48,2,78.35
23/12/24,Campaign_022_ZOMBIE,149.19,682,49,2,77.3
23/12/24,Campaign_023_ZERO_HOPE,84.23,296,16,0,0
23/12/24,Campaign_024_ZOMBIE,184.94,863,61,3,91.96
23/12/24,Campaign_025_AVERAGE,51.51,373,25,2,80.97
23/12/24,Campaign_026_DECAYER,77.78,501,38,3,166.35
23/12/24,Campaign_027_ZOMBIE,154.4,843,51,2,79.1
23/12/24,Campaign_028_ZOMBIE,189.62,670,63,3,98.45
23/12/24,Campaign_029_ZERO_HOPE,101.4,264,20,0,0
23/12/24,Campaign_030_AVERAGE,58.45,358,29,2,91.61
23/12/24,Campaign_031_AVERAGE,63.48,486,31,3,95.93
23/12/24,Campaign_032_ZOMBIE,187.09,917,62,3,90.26
23/12/24,Campaign_033_ZERO_HOPE,77.85,286,15,0,0
23/12/24,Campaign_034_ZOMBIE,173.24,765,57,2,88.06
23/12/24,Campaign_035_ZERO_HOPE,87.67,180,17,0,0
23/12/24,Campaign_036_ZOMBIE,126.29,729,42,2,58.85
23/12/24,Campaign_037_ZERO_HOPE,70.86,174,14,0,0
23/12/24,Campaign_038_AVERAGE,58.13,440,29,2,92.07
23/12/24,Campaign_039_STAR,125.94,1448,125,25,533.78
23/12/24,Campaign_040_AVERAGE,57.25,556,28,2,82.07
23/12/24,Campaign_041_DECAYER,102.57,1010,51,4,191.04
23/12/24,Campaign_042_ZOMBIE,158.29,925,52,2,84.55
23/12/24,Campaign_043_AVERAGE,63.65,425,31,3,100.2
23/12/24,Campaign_044_STAR,118.92,1927,118,23,522.06
23/12/24,Campaign_045_ZERO_HOPE,74,256,14,0,0
23/12/24,Campaign_046_AVERAGE,62.26,421,31,3,88.08
23/12/24,Campaign_047_DECAYER,95.1,680,47,4,200.62
23/12/24,Campaign_048_ZOMBIE,182.37,770,60,3,87.47
23/12/24,Campaign_049_DECAYER,80.44,505,40,3,166.44
23/12/24,Campaign_050_ZERO_HOPE,70.16,226,14,0,0
24/12/24,Campaign_001_ZERO_HOPE,84.44,221,16,0,0
24/12/24,Campaign_002_DECAYER,95.68,782,47,4,198.57
24/12/24,Campaign_003_ZERO_HOPE,71.46,162,14,0,0
24/12/24,Campaign_004_ZOMBIE,166.05,867,55,2,88.56
24/12/24,Campaign_005_ZOMBIE,117.44,752,39,1,53.01
24/12/24,Campaign_006_STAR,76.87,1150,76,15,313.02
24/12/24,Campaign_007_AVERAGE,48.79,419,24,2,75.58
24/12/24,Campaign_008_AVERAGE,44.61,408,22,2,66.67
24/12/24,Campaign_009_AVERAGE,61.04,329,30,3,84
24/12/24,Campaign_010_ZOMBIE,105.5,502,35,1,53.23
24/12/24,Campaign_011_ZERO_HOPE,58.08,195,11,0,0
24/12/24,Campaign_012_ZERO_HOPE,68.94,214,13,0,0
24/12/24,Campaign_013_ZOMBIE,171.89,808,57,2,82.47
24/12/24,Campaign_014_AVERAGE,52.83,507,26,2,85.9
24/12/24,Campaign_015_DECAYER,94.33,470,47,4,183.68
24/12/24,Campaign_016_ZERO_HOPE,99.84,227,19,0,0
24/12/24,Campaign_017_ZOMBIE,170.74,1029,56,2,78.85
24/12/24,Campaign_018_AVERAGE,60.23,469,30,3,91.9
24/12/24,Campaign_019_ZERO_HOPE,65.79,147,13,0,0
24/12/24,Campaign_020_ZERO_HOPE,71.39,202,14,0,0
24/12/24,Campaign_021_ZOMBIE,139.55,494,46,2,72.17
24/12/24,Campaign_022_ZOMBIE,186.2,1073,62,3,94.42
24/12/24,Campaign_023_ZERO_HOPE,73.42,163,14,0,0
24/12/24,Campaign_024_ZOMBIE,113.88,648,37,1,51.36
24/12/24,Campaign_025_AVERAGE,40.64,346,20,2,58.2
24/12/24,Campaign_026_DECAYER,126.82,1134,63,6,238.24
24/12/24,Campaign_027_ZOMBIE,163.68,978,54,2,88.7
24/12/24,Campaign_028_ZOMBIE,111.76,418,37,1,60.41
24/12/24,Campaign_029_ZERO_HOPE,83.92,256,16,0,0
24/12/24,Campaign_030_AVERAGE,44.83,286,22,2,69.43
24/12/24,Campaign_031_AVERAGE,36.08,327,18,1,55.73
24/12/24,Campaign_032_ZOMBIE,137.94,728,45,2,64.26
24/12/24,Campaign_033_ZERO_HOPE,60.84,224,12,0,0
24/12/24,Campaign_034_ZOMBIE,111.82,448,37,1,54.8
24/12/24,Campaign_035_ZERO_HOPE,96.31,306,19,0,0
24/12/24,Campaign_036_ZOMBIE,176.3,1147,58,2,90.52
24/12/24,Campaign_037_ZERO_HOPE,90.11,356,18,0,0
24/12/24,Campaign_038_AVERAGE,36.44,338,18,1,49.73
24/12/24,Campaign_039_STAR,112.7,1164,112,22,471.94
24/12/24,Campaign_040_AVERAGE,47.64,392,23,2,64.38
24/12/24,Campaign_041_DECAYER,116.73,595,58,5,236.12
24/12/24,Campaign_042_ZOMBIE,194.25,1240,64,3,98.1
24/12/24,Campaign_043_AVERAGE,60.93,329,30,3,84.79
24/12/24,Campaign_044_STAR,88.38,1402,88,17,341.46
24/12/24,Campaign_045_ZERO_HOPE,94.96,307,18,0,0
24/12/24,Campaign_046_AVERAGE,49.83,307,24,2,81.69
24/12/24,Campaign_047_DECAYER,106.54,619,53,5,198
24/12/24,Campaign_048_ZOMBIE,145.81,616,48,2,77.61
24/12/24,Campaign_049_DECAYER,92.85,680,46,4,177.22
24/12/24,Campaign_050_ZERO_HOPE,67.56,198,13,0,0
25/12/24,Campaign_001_ZERO_HOPE,77.8,179,15,0,0
25/12/24,Campaign_002_DECAYER,74.64,639,37,3,131.65
25/12/24,Campaign_003_ZERO_HOPE,72.74,232,14,0,0
25/12/24,Campaign_004_ZOMBIE,149.53,518,49,2,74.04
25/12/24,Campaign_005_ZOMBIE,120.13,425,40,2,62.58
