Day,Campaign,Cost,Impressions,Clicks,Conversions,Total conv. value
01/11/25,Retargeting_Q4,116.6,1770,93,3,240
02/11/25,Brand_Exact,56.08,610,37,5,500
02/11/25,Generic_Broad,199.16,1932,79,1,40
02/11/25,Competitor_Test,69.23,278,13,0,0
02/11/25,Retargeting_Q4,91.99,1783,72,2,160
03/11/25,Brand_Exact,41.69,464,27,4,400
03/11/25,Generic_Broad,163.44,1251,65,1,40
03/11/25,Competitor_Test,87.49,412,17,0,0
03/11/25,Retargeting_Q4,90.73,1395,69,2,160
04/11/25,Brand_Exact,58.21,857,38,5,500
04/11/25,Generic_Broad,161.95,1572,64,1,40
04/11/25,Competitor_Test,76.78,345,15,0,0
04/11/25,Retargeting_Q4,82.55,1301,62,2,160
05/11/25,Brand_Exact,55.82,622,37,5,500
05/11/25,Generic_Broad,193.08,1211,77,1,40
05/11/25,Competitor_Test,61.95,294,12,0,0
05/11/25,Retargeting_Q4,106.9,1437,79,2,160
06/11/25,Brand_Exact,55.02,828,36,5,500
06/11/25,Generic_Broad,220.61,1593,88,1,40
06/11/25,Competitor_Test,66.96,272,13,0,0
06/11/25,Retargeting_Q4,105.23,1308,76,2,160
07/11/25,Brand_Exact,59.92,850,39,5,500
07/11/25,Generic_Broad,216.88,1685,86,1,40
07/11/25,Competitor_Test,75.3,300,15,0,0
07/11/25,Retargeting_Q4,114.75,1723,81,2,160
08/11/25,Brand_Exact,40.6,548,27,4,400
08/11/25,Generic_Broad,170.21,1051,68,1,40
08/11/25,Competitor_Test,80.06,366,16,0,0
08/11/25,Retargeting_Q4,114.07,1297,79,2,160
09/11/25,Brand_Exact,40.85,405,27,4,400
09/11/25,Generic_Broad,175.43,1585,70,1,40
09/11/25,Competitor_Test,73.33,322,14,0,0
09/11/25,Retargeting_Q4,90.22,1107,61,2,160
10/11/25,Brand_Exact,55.47,875,36,5,500
10/11/25,Generic_Broad,184.68,1430,73,1,40
10/11/25,Competitor_Test,77.82,368,15,0,0
10/11/25,Retargeting_Q4,81.27,1220,54,1,80
11/11/25,Brand_Exact,47.99,722,31,4,400
11/11/25,Generic_Broad,182.47,1382,72,1,40
11/11/25,Competitor_Test,64.42,256,12,0,0
11/11/25,Retargeting_Q4,118.9,1863,78,2,160
12/11/25,Brand_Exact,55.57,739,37,5,500
12/11/25,Generic_Broad,161.51,1493,64,1,40
12/11/25,Competitor_Test,88.76,332,17,0,0
12/11/25,Retargeting_Q4,107.44,1133,69,2,160
13/11/25,Brand_Exact,54.08,650,36,5,500
13/11/25,Generic_Broad,186,1799,74,1,40
13/11/25,Competitor_Test,88.4,341,17,0,0
13/11/25,Retargeting_Q4,117.38,1374,73,2,160
14/11/25,Brand_Exact,55.95,867,37,5,500
14/11/25,Generic_Broad,162.41,1456,64,1,40
14/11/25,Competitor_Test,60.6,280,12,0,0
14/11/25,Retargeting_Q4,105.97,1111,65,1,80
15/11/25,Brand_Exact,40.25,444,26,3,300
15/11/25,Generic_Broad,174.55,1644,69,1,40
15/11/25,Competitor_Test,80.86,304,16,0,0
15/11/25,Retargeting_Q4,112.79,1150,67,2,160
16/11/25,Brand_Exact,58.68,683,39,5,500
16/11/25,Generic_Broad,186.24,1149,74,1,40
16/11/25,Competitor_Test,75.23,341,15,0,0
16/11/25,Retargeting_Q4,104.6,1164,61,1,80
17/11/25,Brand_Exact,50.04,585,33,4,400
17/11/25,Generic_Broad,197.93,1742,79,1,40
17/11/25,Competitor_Test,69.28,307,13,0,0
17/11/25,Retargeting_Q4,90.07,1205,51,1,80
18/11/25,Brand_Exact,40.04,595,26,3,300
18/11/25,Generic_Broad,238.01,2365,95,1,40
18/11/25,Competitor_Test,77.25,259,15,0,0
18/11/25,Retargeting_Q4,84.37,1052,47,1,80
19/11/25,Brand_Exact,48.24,697,32,4,400
19/11/25,Generic_Broad,179.05,1294,71,1,40
19/11/25,Competitor_Test,68.03,286,13,0,0
19/11/25,Retargeting_Q4,107.42,1306,58,1,80
20/11/25,Brand_Exact,41.42,427,27,4,400
20/11/25,Generic_Broad,170.29,1089,68,1,40
20/11/25,Competitor_Test,74.51,280,14,0,0
20/11/25,Retargeting_Q4,80.69,796,42,1,80
21/11/25,Brand_Exact,45.53,455,30,4,400
21/11/25,Generic_Broad,229.17,1989,91,1,40
21/11/25,Competitor_Test,69.29,309,13,0,0
21/11/25,Retargeting_Q4,114.82,1356,59,1,80
22/11/25,Brand_Exact,55.89,683,37,5,500
22/11/25,Generic_Broad,191.17,1313,76,1,40
22/11/25,Competitor_Test,78.63,294,15,0,0
22/11/25,Retargeting_Q4,83.67,863,41,1,80
23/11/25,Brand_Exact,54.97,828,36,5,500
23/11/25,Generic_Broad,202.26,1326,80,1,40
23/11/25,Competitor_Test,62.64,185,12,0,0
23/11/25,Retargeting_Q4,117.25,1078,56,1,80
24/11/25,Brand_Exact,49.76,579,33,4,400
24/11/25,Generic_Broad,162.34,1434,64,1,40
24/11/25,Competitor_Test,88.06,293,17,0,0
24/11/25,Retargeting_Q4,94.89,705,44,1,80
25/11/25,Brand_Exact,52.62,529,35,5,500
25/11/25,Generic_Broad,163,1079,65,1,40
25/11/25,Competitor_Test,63.78,195,12,0,0
25/11/25,Retargeting_Q4,113.4,990,51,1,80
26/11/25,Brand_Exact,54.04,762,36,5,500
26/11/25,Generic_Broad,164.71,1267,65,1,40
26/11/25,Competitor_Test,74.42,322,14,0,0
26/11/25,Retargeting_Q4,91.26,648,40,0,0
27/11/25,Brand_Exact,40.17,401,26,3,300
27/11/25,Generic_Broad,223.56,1358,89,1,40
27/11/25,Competitor_Test,74.28,231,14,0,0
27/11/25,Retargeting_Q4,101.36,888,43,0,0
28/11/25,Brand_Exact,51.21,780,34,5,500
28/11/25,Generic_Broad,179.81,1076,71,1,40
28/11/25,Competitor_Test,84.67,242,16,0,0
28/11/25,Retargeting_Q4,99.54,687,41,0,0
29/11/25,Brand_Exact,57.5,853,38,5,500
29/11/25,Generic_Broad,174.71,1396,69,1,40
29/11/25,Competitor_Test,62.16,201,12,0,0
29/11/25,Retargeting_Q4,98.52,875,39,0,0
30/11/25,Brand_Exact,49.77,633,33,4,400
30/11/25,Generic_Broad,163.71,1557,65,1,40
30/11/25,Competitor_Test,61.3,233,12,0,0
30/11/25,Retargeting_Q4,113.95,834,43,0,0
01/12/25,Brand_Exact,43.39,619,28,4,400
01/12/25,Generic_Broad,184.46,1684,73,1,40
01/12/25,Competitor_Test,73.2,244,14,0,0
01/12/25,Retargeting_Q4,83.23,476,30,0,0
02/12/25,Brand_Exact,54.25,792,36,5,500
02/12/25,Generic_Broad,171.46,1430,68,1,40
02/12/25,Competitor_Test,81.92,355,16,0,0
02/12/25,Retargeting_Q4,85.37,714,30,0,0
03/12/25,Brand_Exact,55.54,799,37,5,500
03/12/25,Generic_Broad,207.14,1507,82,1,40
03/12/25,Competitor_Test,65.35,305,13,0,0
03/12/25,Retargeting_Q4,99.21,574,34,0,0
04/12/25,Brand_Exact,43.65,513,29,4,400
04/12/25,Generic_Broad,195.23,1638,78,1,40
04/12/25,Competitor_Test,61.36,256,12,0,0
04/12/25,Retargeting_Q4,94.22,579,30,0,0
05/12/25,Brand_Exact,40.01,558,26,3,300
05/12/25,Generic_Broad,203.69,1463,81,1,40
05/12/25,Competitor_Test,81.96,337,16,0,0
05/12/25,Retargeting_Q4,109.72,790,34,0,0
06/12/25,Brand_Exact,46.43,617,30,4,400
06/12/25,Generic_Broad,219.58,2105,87,1,40
06/12/25,Competitor_Test,89.63,315,17,0,0
06/12/25,Retargeting_Q4,96.01,692,28,0,0
07/12/25,Brand_Exact,49.62,528,33,4,400
07/12/25,Generic_Broad,170.6,1020,68,1,40
07/12/25,Competitor_Test,67.14,294,13,0,0
07/12/25,Retargeting_Q4,88.02,596,25,0,0
08/12/25,Brand_Exact,55.13,728,36,5,500
08/12/25,Generic_Broad,182.4,1414,72,1,40
08/12/25,Competitor_Test,88.12,413,17,0,0
08/12/25,Retargeting_Q4,102.33,585,27,0,0
09/12/25,Brand_Exact,45.48,572,30,4,400
09/12/25,Generic_Broad,224.52,1403,89,1,40
09/12/25,Competitor_Test,68.27,245,13,0,0
09/12/25,Retargeting_Q4,84.01,315,21,0,0
10/12/25,Brand_Exact,51.12,583,34,5,500
10/12/25,Generic_Broad,207.23,1769,82,1,40
10/12/25,Competitor_Test,82.16,397,16,0,0
10/12/25,Retargeting_Q4,104.98,617,25,0,0
11/12/25,Brand_Exact,50.66,791,33,4,400
11/12/25,Generic_Broad,213.48,2105,85,1,40
11/12/25,Competitor_Test,71.86,272,14,0,0
11/12/25,Retargeting_Q4,101.1,417,23,0,0
12/12/25,Brand_Exact,57.33,642,38,5,500
12/12/25,Generic_Broad,194.08,1568,77,1,40
12/12/25,Competitor_Test,77.25,233,15,0,0
12/12/25,Retargeting_Q4,93.97,419,20,0,0
13/12/25,Brand_Exact,50.38,749,33,4,400
13/12/25,Generic_Broad,199.78,1421,79,1,40
13/12/25,Competitor_Test,89.88,406,17,0,0
13/12/25,Retargeting_Q4,96.29,289,19,0,0
14/12/25,Brand_Exact,42.87,614,28,4,400
14/12/25,Generic_Broad,168.41,1034,67,1,40
14/12/25,Competitor_Test,60.2,289,12,0,0
14/12/25,Retargeting_Q4,94.97,351,17,0,0
15/12/25,Brand_Exact,49.54,584,33,4,400
15/12/25,Generic_Broad,235.48,2071,94,1,40
15/12/25,Competitor_Test,61.41,248,12,0,0
15/12/25,Retargeting_Q4,82.26,315,14,0,0
16/12/25,Brand_Exact,45.3,711,30,4,400
16/12/25,Generic_Broad,216.19,1765,86,1,40
16/12/25,Competitor_Test,66.11,261,13,0,0
16/12/25,Retargeting_Q4,82.44,281,12,0,0
17/12/25,Brand_Exact,40.47,545,26,3,300
17/12/25,Generic_Broad,181.66,1605,72,1,40
17/12/25,Competitor_Test,82.26,295,16,0,0
17/12/25,Retargeting_Q4,105.26,300,15,0,0
